symbol,score,price,rsi,relative_volume,near_20d_high_pct,entry,stop,target,reward_risk
HATSUN,100,984.7,61.7,1.49,98.5,984.7,937.32,1079.46,2.0
HINDZINC,100,594.9,62.8,2.6,97.8,594.9,570.33,644.05,2.0
HITECHCORP,100,331.5,65.9,2.19,98.0,331.5,320.39,353.71,2.0
INDOBORAX,100,511.85,71.7,2.96,97.6,511.85,467.43,600.68,2.0
INDOTECH,100,3902.5,66.4,2.22,98.1,3902.5,3623.27,4460.96,2.0
JAYNECOIND,100,99.89,68.2,4.05,98.5,99.89,94.32,111.02,2.0
JINDALSAW,100,291.65,69.8,9.29,97.7,291.65,277.23,320.49,2.0
JTLIND,100,79.52,59.0,2.87,98.8,79.52,75.01,88.53,2.0
KFINTECH,100,980.0,63.1,1.72,98.8,980.0,936.9,1066.21,2.0
KOTAKBANK,100,402.8,62.2,1.59,99.2,402.8,392.43,423.55,2.0
KRBL,100,406.95,71.4,1.48,98.8,406.95,386.96,446.93,2.0
LATTEYS,100,23.28,68.8,1.22,97.1,23.28,21.54,26.76,2.0
MAHESHWARI,100,73.38,60.0,2.58,97.9,73.38,69.92,80.3,2.0
MANGLMCEM,100,1027.95,71.3,3.27,99.2,1027.95,979.48,1124.9,2.0
MCLOUD,100,30.27,58.3,1.99,97.6,30.27,27.96,34.89,2.0
MCX,100,3185.0,69.5,1.32,99.2,3185.0,3036.08,3482.84,2.0
MOTILALOFS,100,990.0,68.3,1.55,98.6,990.0,947.04,1075.93,2.0
NAM-INDIA,100,1251.0,63.3,1.44,98.8,1251.0,1199.34,1354.32,2.0
NETWEB,100,5601.0,68.5,2.16,98.7,5601.0,5240.42,6322.15,2.0
ORIENTBELL,100,359.45,65.6,1.78,97.8,359.45,339.09,400.17,2.0
PIRAMALFIN,100,2180.8,63.1,2.1,98.3,2180.8,2091.49,2359.42,2.0
PTCIL,100,20629.0,68.6,1.39,99.2,20629.0,19681.26,22524.48,2.0
RACLGEAR,100,1512.0,64.8,1.25,98.5,1512.0,1399.24,1737.53,2.0
AUBANK,90,1108.2,64.0,1.2,100.0,1108.2,1072.38,1179.83,2.0
CLEDUCATE,90,61.01,60.1,1.17,98.4,61.01,56.76,69.51,2.0
GAYAPROJ,90,21.76,57.0,1.16,98.0,21.76,20.05,25.18,2.0
HINDCOPPER,90,572.7,65.5,1.2,98.5,572.7,540.56,636.98,2.0
MEESHO,90,205.69,66.0,1.19,97.5,205.69,195.86,225.35,2.0
MUFIN,90,139.49,66.3,1.17,98.6,139.49,133.7,151.06,2.0
A2ZINFRA,85,15.46,55.1,2.41,86.1,15.46,14.11,18.17,2.0
ABINFRA,85,12.63,67.1,1.34,87.5,12.63,11.24,15.41,2.0
AEGISLOG,85,1417.9,61.5,1.25,94.7,1417.9,1308.22,1637.27,2.0
ANTHEM,85,871.45,62.5,1.25,96.4,871.45,836.64,941.07,2.0
ASHIMASYN,85,18.46,61.5,2.67,95.9,18.46,16.92,21.54,2.0
AUSOMENT,85,146.83,66.4,1.38,95.4,146.83,135.28,169.92,2.0
BAJEL,85,191.78,57.1,3.11,95.4,191.78,181.07,213.19,2.0
BALRAMCHIN,85,729.35,66.6,5.83,93.4,729.35,679.92,828.21,2.0
BANARISUG,85,4019.7,71.9,4.29,92.7,4019.7,3823.16,4412.78,2.0
BDL,85,1359.0,56.7,1.23,95.2,1359.0,1297.16,1482.69,2.0
BHAGERIA,85,212.7,55.7,1.77,91.3,212.7,200.16,237.78,2.0
BIL,85,831.1,58.6,2.26,94.5,831.1,777.01,939.28,2.0
CALSOFT,85,27.82,70.5,4.67,93.1,27.82,25.75,31.96,2.0
CARBORUNIV,85,1169.8,59.2,3.17,96.9,1169.8,1099.47,1310.45,2.0
CLSEL,85,288.35,56.1,3.05,95.2,288.35,273.82,317.4,2.0
COHANCE,85,463.0,58.2,1.21,95.7,463.0,434.15,520.69,2.0
COUNCODOS,85,6.65,59.0,1.91,92.6,6.65,6.07,7.81,2.0
DATAPATTNS,85,4829.9,62.7,2.62,96.6,4829.9,4544.41,5400.89,2.0
DBOL,85,131.15,69.8,1.31,94.4,131.15,121.02,151.41,2.0
DCMSRIND,85,51.24,71.0,1.45,93.6,51.24,47.29,59.15,2.0
DHANBANK,85,33.73,56.9,1.79,93.8,33.73,32.04,37.11,2.0
DTIL,85,138.69,59.4,3.4,96.3,138.69,130.02,156.03,2.0
EIDPARRY,85,797.3,55.3,1.43,96.3,797.3,762.37,867.15,2.0
EMBDL,85,64.87,58.5,2.01,93.2,64.87,61.54,71.53,2.0
EPL,85,265.61,70.2,1.89,96.9,265.61,251.53,293.77,2.0
GARFIBRES,85,802.6,59.3,2.15,93.0,802.6,753.39,901.02,2.0
GEECEE,85,366.65,55.1,1.53,94.0,366.65,342.89,414.18,2.0
GFLLIMITED,85,55.35,66.1,1.69,95.3,55.35,51.27,63.5,2.0
GILLANDERS,85,96.13,63.1,3.21,91.6,96.13,89.53,109.34,2.0
GLOBAL,85,106.98,57.1,2.12,96.0,106.98,100.01,120.92,2.0
GRASIM,85,3308.0,59.7,1.59,97.0,3308.0,3196.69,3530.61,2.0
GVPTECH,85,7.34,62.8,4.4,93.0,7.34,6.82,8.37,2.0
INDIAGLYCO,85,1146.5,57.5,2.11,95.6,1146.5,1078.5,1282.49,2.0
INDIANHUME,85,392.55,57.9,3.09,93.2,392.55,368.58,440.49,2.0
INDORAMA,85,62.69,65.3,1.42,94.3,62.69,57.26,73.54,2.0
IOLCP,85,169.52,61.3,2.43,94.8,169.52,156.26,196.05,2.0
ISFT,85,86.18,64.2,2.47,97.0,86.18,79.57,99.39,2.0
JSFB,85,582.35,59.9,5.8,95.9,582.35,544.36,658.34,2.0
JSWSTEEL,85,1293.7,56.0,1.3,96.9,1293.7,1256.08,1368.95,2.0
KAMDHENU,85,35.22,58.6,1.44,95.0,35.22,32.7,40.26,2.0
KANPRPLA,85,260.91,65.5,1.73,92.7,260.91,236.85,309.03,2.0
KMSUGAR,85,33.55,68.9,3.25,93.2,33.55,31.15,38.34,2.0
KRISHIVAL,85,405.65,55.6,1.83,90.2,405.65,383.38,450.2,2.0
KRYSTAL,85,657.95,70.9,1.8,94.8,657.95,632.24,709.36,2.0
LAMBODHARA,85,118.08,60.0,7.08,95.2,118.08,110.02,134.2,2.0
LANCORHOL,85,30.95,65.9,4.94,97.0,30.95,27.91,37.03,2.0
MAGADSUGAR,85,601.3,68.8,1.72,95.1,601.3,558.21,687.48,2.0
MAHSEAMLES,85,634.15,66.1,5.98,96.2,634.15,608.37,685.71,2.0
MANAKCOAT,85,125.37,59.4,1.81,96.8,125.37,117.51,141.09,2.0
MANAPPURAM,85,357.5,55.9,1.32,94.0,357.5,341.42,389.66,2.0
MARALOVER,85,56.34,55.4,3.34,90.3,56.34,52.02,64.98,2.0
MODTHREAD,85,58.31,65.2,1.31,88.8,58.31,51.84,71.24,2.0
MOLDTKPAC,85,708.95,59.3,2.63,95.2,708.95,673.64,779.56,2.0
NAHARINDUS,85,125.61,58.5,3.82,92.7,125.61,117.53,141.77,2.0
ORIENTCER,85,45.63,64.9,2.16,94.6,45.63,42.44,52.01,2.0
PALREDTEC,85,55.6,64.3,3.45,92.5,55.6,51.56,63.67,2.0
PATELRMART,85,234.11,59.7,1.21,96.8,234.11,221.2,259.93,2.0
PCJEWELLER,85,10.22,61.4,1.97,96.7,10.22,9.63,11.39,2.0
PFOCUS,85,296.95,59.0,4.16,95.5,296.95,275.1,340.64,2.0
RADIOCITY,85,6.69,56.1,1.74,91.0,6.69,6.2,7.67,2.0
AYMSYNTEX,75,258.2,55.3,1.14,93.1,258.2,237.51,299.57,2.0
CYIENTDLM,75,721.15,62.5,1.14,94.3,721.15,671.56,820.33,2.0
ENGINERSIN,75,244.91,57.2,1.11,96.6,244.91,233.04,268.64,2.0
JUNIPER,75,210.08,66.1,1.2,95.9,210.08,199.66,230.91,2.0
MAMATA,75,420.35,57.4,1.16,96.6,420.35,401.0,459.05,2.0
