symbol,score,price,rsi,relative_volume,near_20d_high_pct,entry,stop,target,reward_risk
MAHESHWARI,100,73.38,60.0,2.58,97.9,73.38,69.92,80.3,2.0
MCLOUD,100,30.27,58.3,1.99,97.6,30.27,27.96,34.89,2.0
MOTISONS,100,17.0,72.7,1.34,97.1,17.0,15.78,19.44,2.0
ORIENTBELL,100,359.45,65.6,1.78,97.8,359.45,339.09,400.17,2.0
APOLLOTYRE,90,439.7,54.4,2.1,97.3,439.7,425.5,468.09,2.0
ARIS,90,143.41,74.6,1.17,99.2,143.41,135.73,158.77,2.0
BOROLTD,90,254.18,60.1,1.01,97.0,254.18,239.56,283.41,2.0
CLEDUCATE,90,61.01,60.1,1.17,98.4,61.01,56.76,69.51,2.0
CORDSCABLE,90,241.33,67.5,1.09,97.4,241.33,226.7,270.6,2.0
ETERNAL,90,328.0,69.5,1.09,98.9,328.0,315.82,352.36,2.0
FEDERALBNK,90,361.0,60.8,1.02,97.5,361.0,351.15,380.71,2.0
GAYAPROJ,90,21.76,57.0,1.16,98.0,21.76,20.05,25.18,2.0
GEOJITFSL,90,80.72,58.0,1.0,97.4,80.72,76.68,88.8,2.0
HEIDELBERG,90,158.98,54.7,1.39,98.2,158.98,154.71,167.52,2.0
IVP,90,185.46,70.2,1.09,98.6,185.46,175.08,206.22,2.0
JKIPL,90,102.32,56.7,0.97,99.3,102.32,94.71,117.54,2.0
MANOMAY,90,217.19,63.2,0.92,98.7,217.19,205.65,240.26,2.0
MBAPL,90,169.52,67.6,0.99,98.1,169.52,159.54,189.49,2.0
MEESHO,90,205.69,66.0,1.19,97.5,205.69,195.86,225.35,2.0
MUFIN,90,139.49,66.3,1.17,98.6,139.49,133.7,151.06,2.0
PNB,90,116.55,59.9,1.08,97.5,116.55,113.38,122.89,2.0
A2ZINFRA,85,15.46,55.1,2.41,86.1,15.46,14.11,18.17,2.0
ABINFRA,85,12.63,67.1,1.34,87.5,12.63,11.24,15.41,2.0
ASHIMASYN,85,18.46,61.5,2.67,95.9,18.46,16.92,21.54,2.0
AUSOMENT,85,146.83,66.4,1.38,95.4,146.83,135.28,169.92,2.0
BAJEL,85,191.78,57.1,3.11,95.4,191.78,181.07,213.19,2.0
BALAJITELE,85,97.8,74.2,5.06,93.7,97.8,90.87,111.66,2.0
BHAGERIA,85,212.7,55.7,1.77,91.3,212.7,200.16,237.78,2.0
CALSOFT,85,27.82,70.5,4.67,93.1,27.82,25.75,31.96,2.0
CLSEL,85,288.35,56.1,3.05,95.2,288.35,273.82,317.4,2.0
COHANCE,85,463.0,58.2,1.21,95.7,463.0,434.15,520.69,2.0
COUNCODOS,85,6.65,59.0,1.91,92.6,6.65,6.07,7.81,2.0
DALMIASUG,85,497.95,75.0,1.24,96.3,497.95,459.92,574.0,2.0
DBOL,85,131.15,69.8,1.31,94.4,131.15,121.02,151.41,2.0
DCMSRIND,85,51.24,71.0,1.45,93.6,51.24,47.29,59.15,2.0
DHANBANK,85,33.73,56.9,1.79,93.8,33.73,32.04,37.11,2.0
DTIL,85,138.69,59.4,3.4,96.3,138.69,130.02,156.03,2.0
DWARKESH,85,53.63,73.9,2.81,95.0,53.63,49.64,61.61,2.0
EMBDL,85,64.87,58.5,2.01,93.2,64.87,61.54,71.53,2.0
EPL,85,265.61,70.2,1.89,96.9,265.61,251.53,293.77,2.0
GEECEE,85,366.65,55.1,1.53,94.0,366.65,342.89,414.18,2.0
GFLLIMITED,85,55.35,66.1,1.69,95.3,55.35,51.27,63.5,2.0
GILLANDERS,85,96.13,63.1,3.21,91.6,96.13,89.53,109.34,2.0
GLOBAL,85,106.98,57.1,2.12,96.0,106.98,100.01,120.92,2.0
GVPTECH,85,7.34,62.8,4.4,93.0,7.34,6.82,8.37,2.0
INDIANHUME,85,392.55,57.9,3.09,93.2,392.55,368.58,440.49,2.0
INDORAMA,85,62.69,65.3,1.42,94.3,62.69,57.26,73.54,2.0
IOLCP,85,169.52,61.3,2.43,94.8,169.52,156.26,196.05,2.0
ISFT,85,86.18,64.2,2.47,97.0,86.18,79.57,99.39,2.0
JAYSREETEA,85,101.81,73.7,4.88,94.3,101.81,95.37,114.69,2.0
KAMDHENU,85,35.22,58.6,1.44,95.0,35.22,32.7,40.26,2.0
KANPRPLA,85,260.91,65.5,1.73,92.7,260.91,236.85,309.03,2.0
KMSUGAR,85,33.55,68.9,3.25,93.2,33.55,31.15,38.34,2.0
KRISHIVAL,85,405.65,55.6,1.83,90.2,405.65,383.38,450.2,2.0
LAMBODHARA,85,118.08,60.0,7.08,95.2,118.08,110.02,134.2,2.0
LANCORHOL,85,30.95,65.9,4.94,97.0,30.95,27.91,37.03,2.0
MAHAPEXLTD,85,61.13,72.5,1.82,96.5,61.13,55.59,72.21,2.0
MANAKCOAT,85,125.37,59.4,1.81,96.8,125.37,117.51,141.09,2.0
MANAPPURAM,85,357.5,55.9,1.32,94.0,357.5,341.42,389.66,2.0
MARALOVER,85,56.34,55.4,3.34,90.3,56.34,52.02,64.98,2.0
MENONBE,85,274.64,74.0,1.53,94.1,274.64,252.96,317.99,2.0
MODISONLTD,85,387.15,73.8,1.33,94.2,387.15,361.11,439.23,2.0
MODTHREAD,85,58.31,65.2,1.31,88.8,58.31,51.84,71.24,2.0
NAHARINDUS,85,125.61,58.5,3.82,92.7,125.61,117.53,141.77,2.0
ORIENTCER,85,45.63,64.9,2.16,94.6,45.63,42.44,52.01,2.0
PALREDTEC,85,55.6,64.3,3.45,92.5,55.6,51.56,63.67,2.0
PATELRMART,85,234.11,59.7,1.21,96.8,234.11,221.2,259.93,2.0
PCJEWELLER,85,10.22,61.4,1.97,96.7,10.22,9.63,11.39,2.0
PFOCUS,85,296.95,59.0,4.16,95.5,296.95,275.1,340.64,2.0
RADIOCITY,85,6.69,56.1,1.74,91.0,6.69,6.2,7.67,2.0
21STCENMGM,75,43.31,64.7,0.9,93.2,43.31,41.59,46.75,2.0
ABCAPITAL,75,413.0,56.1,0.93,95.9,413.0,397.95,443.1,2.0
AUTOIND,75,92.94,52.2,1.36,89.4,92.94,85.51,107.81,2.0
AYMSYNTEX,75,258.2,55.3,1.14,93.1,258.2,237.51,299.57,2.0
BBTCL,75,240.11,58.1,0.97,91.6,240.11,221.55,277.23,2.0
ENGINERSIN,75,244.91,57.2,1.11,96.6,244.91,233.04,268.64,2.0
GOKULAGRO,75,242.8,67.8,0.92,94.1,242.8,229.41,269.57,2.0
GREENPLY,75,293.5,52.5,1.25,96.9,293.5,278.56,323.37,2.0
GUJRAFFIA,75,41.22,52.1,1.21,89.7,41.22,37.78,48.1,2.0
IRISDOREME,75,57.0,69.3,1.09,94.7,57.0,53.9,63.2,2.0
JKPAPER,75,391.8,58.5,1.07,92.7,391.8,373.14,429.12,2.0
JUNIPER,75,210.08,66.1,1.2,95.9,210.08,199.66,230.91,2.0
MAMATA,75,420.35,57.4,1.16,96.6,420.35,401.0,459.05,2.0
MANALIPETC,75,74.02,64.3,0.99,94.0,74.02,68.85,84.36,2.0
MANUGRAPH,75,16.02,54.9,1.26,93.4,16.02,14.57,18.92,2.0
NYKAA,75,334.0,57.8,0.94,96.0,334.0,322.38,357.23,2.0
PASUPTAC,75,61.71,52.4,1.52,94.2,61.71,57.46,70.22,2.0
BHAGYANGR,65,394.5,53.9,0.95,91.5,394.5,363.75,455.99,2.0
